obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('95',)",3716913805,7,3.570569992,3742013811,3742013812,3716913805,0,internal_timestamp,75.52300262,1507925005,33.81060028,0,8.627799988,1026.593135,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('96',)",3716913805,7,3.570559978,3742013811,3742013812,3716913805,0,internal_timestamp,75.52500153,1507925005,33.81060028,0,8.627799988,1026.593144,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('97',)",3716913805,7,3.570549965,3742013811,3742013812,3716913805,0,internal_timestamp,75.52400208,1507925005,33.81060028,0,8.627799988,1026.593139,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('98',)",3716913805,7,3.570559978,3742013811,3742013812,3716913805,0,internal_timestamp,75.52500153,1507925005,33.81060028,0,8.627699852,1026.593159,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('99',)",3716913805,7,3.570559978,3742013811,3742013812,3716913805,0,internal_timestamp,75.52799988,1507925005,33.81069946,0,8.627699852,1026.593251,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('100',)",3716913805,7,3.570569992,3742013811,3742013812,3716913805,0,internal_timestamp,75.52700043,1507925005,33.81079865,0,8.627799988,1026.593308,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('101',)",3716913805,7,3.570580006,3742013811,3742013812,3716913805,0,internal_timestamp,75.52700043,1507925005,33.81079865,0,8.627799988,1026.593308,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('102',)",3716913805,7,3.570569992,3742013811,3742013812,3716913805,0,internal_timestamp,75.52700043,1507925005,33.81069946,0,8.627799988,1026.593231,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('103',)",3716913805,7,3.570559978,3742013811,3742013812,3716913805,0,internal_timestamp,75.53099823,1507925005,33.81060028,0,8.627799988,1026.593171,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('104',)",3716913805,7,3.570549965,3742013811,3742013812,3716913805,0,internal_timestamp,75.53199768,1507925005,33.8105011,0,8.627799988,1026.593098,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
